Rank,Start Date,Peak Date,Trough Date,Recovery Date,Depth (%),Duration (TD),Recovered
1,2020-02-27,2020-02-26,2020-03-23,,34.78477842498898,1196,False
2,2018-09-17,2018-09-14,2018-10-26,2020-02-04,10.679491582057942,335,True
3,2016-11-09,2016-11-08,2016-11-21,2017-09-29,7.191971968070288,222,True
4,2015-08-31,2015-08-28,2015-09-07,2016-01-29,5.538029852830028,99,True
5,2013-06-18,2013-06-17,2013-06-26,2013-08-12,4.467476655764306,38,True
6,2014-12-12,2014-12-11,2014-12-17,2014-12-22,3.347076573540855,6,True
7,2016-02-11,2016-02-10,2016-02-11,2016-02-19,3.224672620901562,6,True
8,2013-02-21,2013-02-20,2013-02-28,2013-06-14,2.278032293123521,76,True
9,2018-03-22,2018-03-21,2018-03-23,2018-03-27,1.547969723172742,3,True
10,2015-08-25,2015-08-24,2015-08-26,2015-08-27,1.380731500468344,2,True
11,2014-02-13,2014-02-12,2014-02-13,2014-02-18,1.3625887959196412,2,True
12,2018-04-03,2018-04-02,2018-05-23,2018-05-25,1.2183514552581387,37,True
13,2016-10-14,2016-10-13,2016-10-17,2016-10-18,0.9258931221325607,2,True
14,2016-11-03,2016-11-02,2016-11-04,2016-11-08,0.847233825770325,3,True
15,2018-03-07,2018-03-06,2018-03-07,2018-03-08,0.8395727868984815,1,True
16,2014-12-23,2014-12-22,2015-03-27,2015-03-30,0.7826493112695954,64,True
17,2013-02-14,2013-02-13,2013-02-15,2013-02-19,0.7677511435160789,3,True
18,2013-08-16,2013-08-14,2013-08-16,2014-02-04,0.7117221431893891,115,True
19,2018-03-28,2018-03-27,2018-03-28,2018-04-02,0.6917631084607038,1,True
20,2013-02-11,2013-02-08,2013-02-11,2013-02-13,0.44499189641397974,2,True
21,2018-03-13,2018-03-12,2018-03-13,2018-03-20,0.3761046445705836,5,True
22,2014-02-10,2014-02-07,2014-02-10,2014-02-12,0.1608061697771174,2,True
23,2018-03-09,2018-03-08,2018-03-09,2018-03-12,0.1542645765246624,1,True
24,2018-05-29,2018-05-28,2018-05-29,2018-09-12,0.06298321141966791,74,True
25,2015-03-31,2015-03-30,2015-03-31,2015-04-01,0.015305685354897012,1,True
