Rank,Start Date,Peak Date,Trough Date,Recovery Date,Depth (%),Duration (TD),Recovered
1,2021-10-19,2021-10-18,2022-09-29,2024-06-25,22.484634749947716,661,True
2,2015-03-04,2015-03-03,2015-08-26,2016-09-08,16.23382716009452,370,True
3,2013-05-29,2013-05-28,2013-08-07,2014-06-03,15.731021351504374,247,True
4,2018-01-30,2018-01-29,2019-02-19,2020-10-08,15.59137099375795,659,True
5,2024-09-27,2024-09-26,2024-11-05,,8.83560817494776,63,False
6,2016-09-09,2016-09-08,2017-02-15,2017-05-15,7.587758212297542,165,True
7,2021-01-21,2021-01-20,2021-01-29,2021-02-02,6.897379751487259,7,True
8,2021-02-16,2021-02-15,2021-04-20,2021-05-27,6.649165779942456,66,True
9,2014-12-01,2014-11-28,2014-12-17,2015-01-20,6.502491139783986,34,True
10,2014-09-09,2014-09-08,2014-10-16,2014-10-31,5.208036703620323,32,True
11,2015-01-30,2015-01-29,2015-02-09,2015-03-02,4.758527298284767,20,True
12,2014-07-08,2014-07-07,2014-07-14,2014-07-23,4.276275712886603,11,True
13,2017-09-19,2017-09-18,2017-09-27,2017-10-13,4.1105635267247305,17,True
14,2024-08-02,2024-08-01,2024-08-06,2024-08-27,4.071623146189152,16,True
15,2017-08-02,2017-08-01,2017-08-11,2017-09-18,3.9927290646824494,31,True
16,2017-11-06,2017-11-03,2017-12-06,2017-12-19,3.9072029717770684,31,True
17,2014-07-25,2014-07-24,2014-08-08,2014-08-18,3.346490558842145,14,True
18,2020-12-21,2020-12-18,2020-12-21,2020-12-28,3.140495257793324,4,True
19,2020-10-15,2020-10-14,2020-10-30,2020-11-05,2.745368363047055,15,True
20,2021-01-15,2021-01-14,2021-01-18,2021-01-20,2.153387411954087,3,True
21,2014-06-11,2014-06-10,2014-06-26,2014-07-02,2.1315462764855053,15,True
22,2017-06-06,2017-06-05,2017-06-28,2017-07-10,1.9002347965167883,23,True
23,2021-07-16,2021-07-15,2021-07-20,2021-08-03,1.8343187246759474,11,True
24,2021-09-28,2021-09-27,2021-10-01,2021-10-08,1.8092804587624831,8,True
25,2017-05-18,2017-05-17,2017-05-24,2017-05-26,1.734248697609113,6,True
26,2024-09-04,2024-09-03,2024-09-06,2024-09-12,1.691858240293448,6,True
27,2024-07-19,2024-07-18,2024-07-25,2024-07-26,1.5916793425124334,5,True
28,2020-11-25,2020-11-24,2020-11-25,2020-12-01,1.5070680468092217,3,True
29,2021-09-17,2021-09-16,2021-09-20,2021-09-23,1.3193772334722982,4,True
30,2020-11-19,2020-11-18,2020-11-19,2020-11-24,1.287266861341371,3,True
31,2021-07-08,2021-07-07,2021-07-09,2021-07-15,1.195558978109391,5,True
32,2021-06-16,2021-06-15,2021-07-01,2021-07-07,1.1925579343699106,15,True
