Rank,short_window,long_window,CAGR,Volatility,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Max_Drawdown,Total_Trades,Total_Cost_Cash,Total_Turnover
1,10,150,0.07418378274263526,0.09939154943399428,0.7697384156010537,1.1352521655422807,0.5704524497452212,13.004376223779502,10,1905.7419383964566,19.0
2,20,150,0.06970588880039608,0.09989337711604533,0.7245520983912378,1.061702426400866,0.485799385497618,14.348698430113158,8,1460.2531335969634,15.0
3,30,50,0.0722227464776064,0.10489470374545028,0.717415839364026,1.0258437988008209,0.3877148477949529,18.627800015490294,17,2715.7503056779524,33.0
4,20,200,0.06887185007665897,0.10516494675843714,0.6860561537001033,0.9780579287938604,0.4020301872168771,17.131014602021843,9,1680.9621791104603,17.0
5,50,150,0.06640348094139359,0.10151535231355964,0.6841180787656342,0.999999719950227,0.39169223744264425,16.95297343009436,5,881.407920476581,9.0
6,30,150,0.06468202718691773,0.10065769339708822,0.6730341632731185,0.9824192366157737,0.3647779274092943,17.731891741997348,7,1301.9285463384806,13.0
7,50,200,0.06310303684257645,0.10308454022961284,0.6452007593437062,0.9333656393611376,0.4335586760179005,14.554670528602475,5,850.5467718410434,9.0
8,30,200,0.0633744346242533,0.10516805950428731,0.6369960804577781,0.9064723756283325,0.3381900066942938,18.739298432771403,6,1028.258530482587,11.0
9,10,50,0.05966092435018977,0.10085085571454769,0.6251224435456264,0.9024540688394871,0.3635403337017824,16.411088074516243,17,2769.012862733547,33.0
10,50,100,0.05837306210409321,0.10863922363567083,0.5766565741015044,0.8190516304170009,0.31941415994200384,18.275038938377694,8,1314.1453025366507,15.0
11,20,50,0.0528972357392572,0.10325370380392539,0.5509331463802521,0.7895429698550305,0.2633144721354388,20.08899674608424,17,2610.1359273324524,33.0
12,20,100,0.045397381071688114,0.1043369758821919,0.47779943410351416,0.6732994366509482,0.27964681786980283,16.23382716009452,10,1439.2730453600461,19.0
13,10,200,0.04472901915607452,0.10269145864279473,0.4774800354709517,0.681594149517255,0.1927059006648141,23.211027270968007,13,2247.5608426752356,25.0
14,30,100,0.0446360126212908,0.10528694568217395,0.46750066378803395,0.6615168446066402,0.2560013883600867,17.43584787067898,10,1521.503634281018,19.0
15,10,100,0.04430742588975556,0.10488948932798338,0.46593050028619604,0.6553654757280548,0.19211657195016793,23.062781851660468,13,1894.128833884129,25.0
