Regime,Active Days,CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Trade Count,Win Rate (%),Profit Factor,Average Hold (TD),Avg Trade Return (%),Exposure (%),Turnover (Units)
Crash,23,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.0,0.0,0.0
Recovery,144,3.746015280767545,7.046673084565799,0.5568310500923697,0.8824590837117688,1.2722909783398895,2.944307037102016,2,100.0,,271.5,30.722249679112778,0.0,0.0
Sideways_High_Vol,288,-8.696571853143553,8.28517157157584,-1.0563600299042448,-1.2839221275431207,-0.7556710473559953,11.508409490573765,1,100.0,,385.0,34.58737979276791,0.0,0.0
Sideways_Low_Vol,148,9.421472035753364,6.161380154298649,1.4921134421684081,2.407359338161626,3.867134520800744,2.4362928119196945,4,50.0,27.871693103660316,170.5,11.148003918165735,0.0,0.0
Sideways_Medium_Vol,157,14.269880488306041,9.183668739891582,1.4982682073215798,2.6992067157592876,5.0110118000372585,2.8477044273174412,3,33.33333333333333,0.09316328764454974,109.33333333333333,-1.0297308778835823,0.0,0.0
Trending_Down_High_Vol,131,-4.15963189980647,2.822401313049683,-1.4911464464933932,-1.7387808119505865,-1.8167402609554262,2.2896128792890376,1,100.0,,2.0,0.612932273601125,0.0,0.0
Trending_Down_Low_Vol,65,-10.355667696633585,3.53758866362489,-3.0720282409090656,-3.06617366974113,-3.447624282510888,3.003711207501881,0,,,0.0,0.0,0.0,0.0
Trending_Down_Medium_Vol,53,-10.825143814084848,4.668003140665912,-2.430706640585161,-2.5239591105489514,-4.432594310239678,2.4421688646483672,1,0.0,0.0,1.0,-0.5258872417151735,0.0,0.0
Trending_Up_High_Vol,381,29.373617385436223,18.341100685703974,1.568049384553088,2.266091485157856,2.928458370070484,10.030402919720945,2,0.0,0.0,11.0,-3.7630676642859733,0.0,0.0
Trending_Up_Low_Vol,1029,16.72338442475285,9.703186932624199,1.6458463670219585,2.477338931337845,1.8304226495958458,9.136351338553064,0,,,0.0,0.0,0.0,0.0
Trending_Up_Medium_Vol,527,2.7792406568007078,13.455543835932266,0.23495373026003086,0.32446774191747263,0.12440094042001594,22.340993946003415,1,0.0,0.0,120.0,-0.21693565438836107,0.0,0.0
