Rank,short_window,long_window,CAGR,Volatility,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Max_Drawdown,Total_Trades,Total_Cost_Cash,Total_Turnover
1,8,145,0.07840114846868729,0.09969164194211541,0.8070211879438803,1.1972898063722013,0.531536715607892,14.749902719142142,11,2106.1787161190227,21.0
2,10,150,0.07418378274263526,0.09939154943399428,0.7697384156010537,1.1352521655422807,0.5704524497452212,13.004376223779502,10,1905.7419383964566,19.0
3,12,150,0.07287099664794883,0.09832581988234974,0.7645696182394014,1.1277156971496716,0.5017993845283054,14.521938227654068,8,1505.748881575222,15.0
4,8,155,0.07404979579510118,0.1003684670537378,0.7619562146964866,1.1295088032425764,0.4519367665958726,16.38499039431271,10,1974.4846475159547,19.0
5,9,160,0.07317102784335239,0.09954015784353869,0.7592596899874041,1.1187007886117046,0.4757229143297647,15.381018159791903,9,1735.052282175218,17.0
6,11,150,0.07249918190713234,0.09898435311958494,0.7566383283380738,1.114309592739789,0.5679123986888052,12.765909332939074,8,1470.7118937572018,15.0
7,12,155,0.07228372132623884,0.09910706511579698,0.7537915595346635,1.1124278260657696,0.48415211817155623,14.929960773325702,8,1520.4040239996762,15.0
8,9,145,0.0724861412656459,0.0994747342725275,0.7532775222347452,1.1077150187698341,0.48978659869623586,14.799535442291997,11,2057.126276939578,21.0
9,8,140,0.07275110040345978,0.09987233152770858,0.7531287459116944,1.1148861263304386,0.5007559696142238,14.528254243180832,11,2022.5576245252091,21.0
10,8,150,0.07305817215462995,0.1003759176703602,0.7527021111134524,1.115677959006647,0.44588474205019313,16.384990394312666,10,1963.821788669597,19.0
11,10,145,0.07176344794012479,0.09905318277649337,0.7492516347105299,1.1028559327802494,0.5517688459504657,13.00607101448552,10,1810.2509958170706,19.0
12,11,145,0.07137050959808233,0.09867127163162993,0.7480544456430999,1.0994696594263018,0.5774725986302991,12.35911621908386,10,1780.5781017009522,19.0
13,12,145,0.07103800850791209,0.09822060789611128,0.7478711276955559,1.1013824447127558,0.5354851129979441,13.266103348831068,9,1616.9641027641865,17.0
14,9,155,0.07158368236552581,0.09945490615283528,0.7449376151145632,1.0974378314601498,0.4845963392634038,14.77181657507658,10,1907.1310043421367,19.0
15,12,160,0.07129524694843248,0.09935356304996751,0.742884770859644,1.0939143529551485,0.4775313748701262,14.929960773325647,8,1514.2510521995473,15.0
16,10,155,0.0708480271265115,0.09968832310646515,0.7365377694208034,1.0831244268779838,0.49599293221868707,14.2840799786385,9,1710.9565085054987,17.0
17,8,160,0.06958592625002025,0.09980291975886774,0.7239858618479532,1.064580863041659,0.3911030710321512,17.792221898533708,11,2145.227254027386,21.0
18,10,160,0.06951382906601511,0.09993312966340054,0.7225006125331773,1.0604769980665802,0.44499318088214274,15.621324562370312,9,1697.476381542967,17.0
19,9,150,0.06891597807272487,0.09956793580063332,0.7191680684447407,1.0556294631140826,0.43727830520486266,15.760209745699157,10,1906.2802614168736,19.0
20,11,160,0.06906046173578995,0.09981970132734932,0.7189611958834011,1.0534356799629776,0.47555953381125354,14.521938227654077,8,1473.1822455401757,15.0
21,11,155,0.06676909974894496,0.09943616509315975,0.6997642010958031,1.026301218495245,0.4490309959197686,14.869597055806599,8,1466.7256818427543,15.0
22,10,140,0.06624576251152559,0.0993183159279889,0.6955339488898803,1.0207841178081034,0.5163206698124887,12.830352605403913,10,1741.980615597753,19.0
23,11,140,0.06531611230655732,0.09892284281933039,0.6891016846414797,1.009456419750297,0.49655274111438846,13.153912343726395,9,1521.4882367890189,17.0
24,12,140,0.06353076844422056,0.09861947676946017,0.6739043069401333,0.9873144968643485,0.4439111751685367,14.311594750931937,10,1714.4730003243471,19.0
25,9,140,0.0615531626596888,0.09933908188667187,0.6510023117119205,0.9514200011455274,0.39822095229674576,15.457037683396601,11,1939.185089188724,21.0
