Transition,Return_30d (%),Return_60d (%),Return_90d (%)
Crash -> Trending_Down_High_Vol,0.0,0.0,2.5734008988907764
Recovery -> Sideways_High_Vol,1.9610425955339683,3.350910007781338,11.34544431882053
Recovery -> Sideways_Low_Vol,2.0629224176468397,7.976564962014921,9.209263737867769
Recovery -> Sideways_Medium_Vol,3.142023458726584,6.976135443840548,7.929710831171111
Recovery -> Trending_Down_High_Vol,-0.07532225003294979,2.0065189104052608,2.9787019148984784
Recovery -> Trending_Down_Low_Vol,0.8826462594853579,0.5993170787318025,2.1044201972528165
Recovery -> Trending_Down_Medium_Vol,1.5569471952852743,3.7382204065552482,3.144289528580805
Sideways_High_Vol -> Crash,0.0,0.0,3.7530160448919325
Sideways_High_Vol -> Recovery,0.22360498517604022,2.0637623763066917,8.041912805123719
Sideways_High_Vol -> Sideways_Low_Vol,0.0,0.0,0.0
Sideways_High_Vol -> Sideways_Medium_Vol,-0.1600984388746047,2.1165410792215837,4.568548516539933
Sideways_High_Vol -> Trending_Down_High_Vol,0.8945970290311362,1.7800506093389643,3.6296530507013114
Sideways_High_Vol -> Trending_Up_High_Vol,1.668582073332471,1.4131389230452995,2.3177450641502078
Sideways_High_Vol -> Trending_Up_Medium_Vol,0.0,3.2713720663223533,6.669473812268478
Sideways_Low_Vol -> Sideways_High_Vol,0.0,0.0,0.0
Sideways_Low_Vol -> Sideways_Medium_Vol,1.5451658430963189,4.575210537628115,5.2966698640814505
Sideways_Low_Vol -> Trending_Down_Low_Vol,1.655150759989296,5.488052128940021,6.785155486139541
Sideways_Low_Vol -> Trending_Down_Medium_Vol,-0.6680093724912887,-0.8603477361507461,0.6903711955711674
Sideways_Low_Vol -> Trending_Up_Low_Vol,2.702317409909124,3.289823908909828,4.075886321595764
Sideways_Medium_Vol -> Recovery,2.074798343228279,7.337653093960894,8.987369161484137
Sideways_Medium_Vol -> Sideways_High_Vol,-0.5135934457234524,1.6490430189068594,5.271626682917256
Sideways_Medium_Vol -> Sideways_Low_Vol,1.2065929252135232,2.9959359339160314,2.9399482661625806
Sideways_Medium_Vol -> Trending_Down_High_Vol,0.0,3.4673993463432806,1.4983750220620928
Sideways_Medium_Vol -> Trending_Down_Low_Vol,0.6163868123465754,4.674624004381656,7.957702010713718
Sideways_Medium_Vol -> Trending_Down_Medium_Vol,1.3545190828881504,0.9754741274887913,1.4282481112917988
Sideways_Medium_Vol -> Trending_Up_High_Vol,6.640455203390783,5.622334716636567,7.84910618404041
Sideways_Medium_Vol -> Trending_Up_Low_Vol,-2.2931619229683786,-2.840064216874405,3.255205799951888
Sideways_Medium_Vol -> Trending_Up_Medium_Vol,0.5738453083014665,4.707429174423408,7.162228900997267
Trending_Down_High_Vol -> Crash,0.0,0.0,0.0
Trending_Down_High_Vol -> Recovery,-0.047023973063447154,1.8352722146985079,3.86482716278357
Trending_Down_High_Vol -> Sideways_High_Vol,1.2877542437484624,2.25395258360048,3.132579034734284
Trending_Down_High_Vol -> Sideways_Medium_Vol,-0.5255686025174122,4.768710150167643,4.688778174631869
Trending_Down_High_Vol -> Trending_Down_Medium_Vol,0.0,-0.17518953417247074,0.6518265158807454
Trending_Down_Low_Vol -> Recovery,0.5038474265833681,0.247589833133679,0.4610697492564352
Trending_Down_Low_Vol -> Sideways_Low_Vol,1.4866176282299137,3.7373752450289563,5.269675312430272
Trending_Down_Low_Vol -> Sideways_Medium_Vol,2.774295852974932,5.8953529211691835,7.240610642621551
Trending_Down_Low_Vol -> Trending_Down_Medium_Vol,3.311798800613319,1.6990233867658855,7.188219706039489
Trending_Down_Medium_Vol -> Recovery,1.746277982461808,3.7159616519176435,5.483636208245231
Trending_Down_Medium_Vol -> Sideways_High_Vol,-1.122301412311555,-1.651829112070713,-1.651829112070713
Trending_Down_Medium_Vol -> Sideways_Low_Vol,6.41646751884839,9.137554456221508,5.2920011526705
Trending_Down_Medium_Vol -> Sideways_Medium_Vol,1.8854640025675362,1.8038526285842482,2.8372776440424596
Trending_Down_Medium_Vol -> Trending_Down_High_Vol,0.0,-0.4363931196350109,0.13505734029193306
Trending_Down_Medium_Vol -> Trending_Down_Low_Vol,-0.8259145560353565,-0.8259145560353565,-0.8259145560353565
Trending_Up_High_Vol -> Sideways_High_Vol,0.8162479232692578,0.26492256326344404,1.3306929888460024
Trending_Up_High_Vol -> Sideways_Medium_Vol,3.5427039081957212,1.9684729280974145,1.003322345332408
Trending_Up_High_Vol -> Trending_Up_Medium_Vol,2.6422436058733876,4.7618684064370855,7.342860512582025
Trending_Up_Low_Vol -> Sideways_Low_Vol,0.0,2.582443723491301,7.631761731275255
Trending_Up_Low_Vol -> Sideways_Medium_Vol,0.0,2.990053065889575,9.127320623802015
Trending_Up_Low_Vol -> Trending_Up_High_Vol,6.448142096656917,6.981915792875704,5.348261557556344
Trending_Up_Low_Vol -> Trending_Up_Medium_Vol,1.4514224145165329,1.967865891447338,3.2723894663336033
Trending_Up_Medium_Vol -> Sideways_High_Vol,-3.4200799329040352,-2.7050661017769206,-0.9104619901269095
Trending_Up_Medium_Vol -> Sideways_Medium_Vol,0.0689034604892526,1.9175295736045261,3.8856742472382035
Trending_Up_Medium_Vol -> Trending_Up_High_Vol,3.0481991190885886,4.947268706584607,6.72167204137718
Trending_Up_Medium_Vol -> Trending_Up_Low_Vol,1.16502837408588,3.549580982251091,4.130098518053387
